,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2011,全日本大学選手権大会,47,m4+,予選A組,4,龍谷大学,01:38.40,03:23.73,05:08.34,06:54.61,1,→Semi-Final
1,2011,全日本大学選手権大会,47,m4+,予選A組,5,立教大学,01:41.04,03:25.62,05:11.62,07:00.43,2,
2,2011,全日本大学選手権大会,47,m4+,予選A組,2,長崎大学医学部,01:42.04,03:29.70,05:18.85,07:12.24,3,
3,2011,全日本大学選手権大会,47,m4+,予選A組,1,新潟大学,01:43.24,03:33.79,05:23.95,07:15.45,4,
4,2011,全日本大学選手権大会,47,m4+,予選A組,3,福島県立医科大学,01:39.74,03:31.82,05:24.28,07:17.99,5,
5,2011,全日本大学選手権大会,47,m4+,予選A組,6,関西学院大学,01:50.01,03:43.56,05:37.21,07:31.39,6,
6,2011,全日本大学選手権大会,48,m4+,予選B組,5,松山大学,01:43.30,03:28.71,05:14.19,06:59.55,1,→Semi-Final
7,2011,全日本大学選手権大会,48,m4+,予選B組,3,一橋大学,01:40.96,03:28.22,05:15.70,07:02.72,2,
8,2011,全日本大学選手権大会,48,m4+,予選B組,2,岐阜経済大学,01:44.81,03:34.17,05:21.86,07:07.92,3,
9,2011,全日本大学選手権大会,48,m4+,予選B組,4,慶應義塾大学医学部,01:45.71,03:34.44,05:21.35,07:09.25,4,
10,2011,全日本大学選手権大会,48,m4+,予選B組,1,名古屋工業大学,01:48.88,03:43.22,05:41.86,07:39.80,5,
11,2011,全日本大学選手権大会,48,m4+,予選B組,6,,,,,,,
12,2011,全日本大学選手権大会,49,m4+,予選C組,5,山口大学,01:37.26,03:18.13,05:01.91,06:45.32,1,→Semi-Final
13,2011,全日本大学選手権大会,49,m4+,予選C組,1,学習院大学,01:40.07,03:25.43,05:13.14,06:59.34,2,
14,2011,全日本大学選手権大会,49,m4+,予選C組,4,慶應義塾大学,01:41.59,03:29.92,05:20.28,07:08.19,3,
15,2011,全日本大学選手権大会,49,m4+,予選C組,3,早稲田大学理工漕艇部,01:43.66,03:31.46,05:23.04,07:11.19,4,
16,2011,全日本大学選手権大会,49,m4+,予選C組,2,神戸大学,01:50.69,03:44.87,05:39.75,07:30.51,5,
17,2011,全日本大学選手権大会,49,m4+,予選C組,6,,,,,,,
18,2011,全日本大学選手権大会,50,m4+,予選D組,4,東海大学,01:38.14,03:24.75,05:14.44,07:00.14,1,→Semi-Final
19,2011,全日本大学選手権大会,50,m4+,予選D組,5,北海道大学,01:43.64,03:30.02,05:16.23,07:02.96,2,
20,2011,全日本大学選手権大会,50,m4+,予選D組,3,金沢大学,01:42.30,03:34.16,05:24.50,07:09.87,3,
21,2011,全日本大学選手権大会,50,m4+,予選D組,2,日本体育大学,01:42.80,03:32.41,05:23.81,07:11.75,4,
22,2011,全日本大学選手権大会,50,m4+,予選D組,1,広島大学,01:47.94,03:39.96,05:32.94,07:24.95,5,
23,2011,全日本大学選手権大会,50,m4+,予選D組,6,,,,,,,
24,2011,全日本大学選手権大会,51,m4+,予選E組,4,中央大学,01:37.68,03:23.96,05:09.85,06:54.22,1,→Semi-Final
25,2011,全日本大学選手権大会,51,m4+,予選E組,2,京都大学,01:39.51,03:27.52,05:14.20,07:02.16,2,
26,2011,全日本大学選手権大会,51,m4+,予選E組,5,滋賀大学教育学部,01:47.64,03:38.04,05:29.02,07:19.63,3,
27,2011,全日本大学選手権大会,51,m4+,予選E組,3,大阪市立大学,01:47.08,03:41.95,05:33.82,07:26.26,4,
28,2011,全日本大学選手権大会,51,m4+,予選E組,1,防衛大学校,01:53.61,03:53.98,05:53.01,07:52.36,5,
29,2011,全日本大学選手権大会,51,m4+,予選E組,6,,,,,,,
30,2011,全日本大学選手権大会,52,m4+,予選F組,2,日本大学,01:34.01,03:13.17,04:52.94,06:33.63,1,→Semi-Final
31,2011,全日本大学選手権大会,52,m4+,予選F組,3,仙台大学,01:36.00,03:16.13,04:55.94,06:36.26,2,
32,2011,全日本大学選手権大会,52,m4+,予選F組,1,富山国際大学,01:36.92,03:17.55,04:59.12,06:39.64,3,
33,2011,全日本大学選手権大会,52,m4+,予選F組,4,東京経済大学,01:39.62,03:27.42,05:15.44,07:03.60,4,
34,2011,全日本大学選手権大会,52,m4+,予選F組,5,大阪府立大学,01:46.99,03:39.12,05:30.31,07:24.50,5,
35,2011,全日本大学選手権大会,52,m4+,予選F組,6,,,,,,,
36,2011,全日本大学選手権大会,53,m4+,予選G組,3,明治大学,01:38.66,03:21.62,05:07.01,06:51.19,1,→Semi-Final
37,2011,全日本大学選手権大会,53,m4+,予選G組,2,東北大学,01:41.16,03:24.18,05:09.43,06:52.52,2,
38,2011,全日本大学選手権大会,53,m4+,予選G組,5,熊本大学,01:43.66,03:33.46,05:24.63,07:10.68,3,
39,2011,全日本大学選手権大会,53,m4+,予選G組,4,島根大学,01:41.56,03:30.44,05:22.13,07:10.83,4,
40,2011,全日本大学選手権大会,53,m4+,予選G組,1,近畿大学,01:45.56,04:01.26,06:02.52,07:58.96,5,
41,2011,全日本大学選手権大会,53,m4+,予選G組,6,,,,,,,
42,2011,全日本大学選手権大会,54,m4+,予選H組,2,立命館大学,01:39.75,03:26.17,05:13.26,06:58.77,1,→Semi-Final
43,2011,全日本大学選手権大会,54,m4+,予選H組,3,東京大学,01:39.23,03:26.97,05:16.29,07:02.91,2,
44,2011,全日本大学選手権大会,54,m4+,予選H組,1,鹿児島大学,01:43.34,03:35.34,05:25.65,07:12.28,3,
45,2011,全日本大学選手権大会,54,m4+,予選H組,4,滋賀医科大学,01:45.44,03:35.56,05:24.20,07:13.50,4,
46,2011,全日本大学選手権大会,54,m4+,予選H組,5,佐賀大学医学部,01:48.41,03:40.00,05:30.44,07:18.88,5,
47,2011,全日本大学選手権大会,54,m4+,予選H組,6,,,,,,,
48,2011,全日本大学選手権大会,111,m4+,敗復A組,3,東京大学,01:55.32,03:56.40,06:01.88,08:07.75,1,→Semi-Final
49,2011,全日本大学選手権大会,111,m4+,敗復A組,5,滋賀大学教育学部,02:01.85,04:04.90,06:09.86,08:14.68,2,
50,2011,全日本大学選手権大会,111,m4+,敗復A組,2,佐賀大学医学部,02:03.78,04:09.84,06:16.46,08:17.58,3,
51,2011,全日本大学選手権大会,111,m4+,敗復A組,4,北海道大学,02:01.02,04:07.49,06:15.91,08:21.58,4,
52,2011,全日本大学選手権大会,111,m4+,敗復A組,1,,,,,,,
53,2011,全日本大学選手権大会,111,m4+,敗復A組,6,,,,,,,
