,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2011,全日本大学選手権大会,47,m4+,予選A組,4,龍谷大学,98.4,203.73,308.34,414.61,1,→Semi-Final
1,2011,全日本大学選手権大会,47,m4+,予選A組,5,立教大学,101.04,205.62,311.62,420.43,2,
2,2011,全日本大学選手権大会,47,m4+,予選A組,2,長崎大学医学部,102.04,209.7,318.85,432.24,3,
3,2011,全日本大学選手権大会,47,m4+,予選A組,1,新潟大学,103.24,213.79,323.95,435.45,4,
4,2011,全日本大学選手権大会,47,m4+,予選A組,3,福島県立医科大学,99.74,211.82,324.28,437.99,5,
5,2011,全日本大学選手権大会,47,m4+,予選A組,6,関西学院大学,110.01,223.56,337.21,451.39,6,
6,2011,全日本大学選手権大会,48,m4+,予選B組,5,松山大学,103.3,208.71,314.19,419.55,1,→Semi-Final
7,2011,全日本大学選手権大会,48,m4+,予選B組,3,一橋大学,100.96,208.22,315.7,422.72,2,
8,2011,全日本大学選手権大会,48,m4+,予選B組,2,岐阜経済大学,104.81,214.17,321.86,427.92,3,
9,2011,全日本大学選手権大会,48,m4+,予選B組,4,慶應義塾大学医学部,105.71,214.44,321.35,429.25,4,
10,2011,全日本大学選手権大会,48,m4+,予選B組,1,名古屋工業大学,108.88,223.22,341.86,459.8,5,
11,2011,全日本大学選手権大会,48,m4+,予選B組,6,,0,0,0,0,,
12,2011,全日本大学選手権大会,49,m4+,予選C組,5,山口大学,97.26,198.13,301.91,405.32,1,→Semi-Final
13,2011,全日本大学選手権大会,49,m4+,予選C組,1,学習院大学,100.07,205.43,313.14,419.34,2,
14,2011,全日本大学選手権大会,49,m4+,予選C組,4,慶應義塾大学,101.59,209.92,320.28,428.19,3,
15,2011,全日本大学選手権大会,49,m4+,予選C組,3,早稲田大学理工漕艇部,103.66,211.46,323.04,431.19,4,
16,2011,全日本大学選手権大会,49,m4+,予選C組,2,神戸大学,110.69,224.87,339.75,450.51,5,
17,2011,全日本大学選手権大会,49,m4+,予選C組,6,,0,0,0,0,,
18,2011,全日本大学選手権大会,50,m4+,予選D組,4,東海大学,98.14,204.75,314.44,420.14,1,→Semi-Final
19,2011,全日本大学選手権大会,50,m4+,予選D組,5,北海道大学,103.64,210.02,316.23,422.96,2,
20,2011,全日本大学選手権大会,50,m4+,予選D組,3,金沢大学,102.3,214.16,324.5,429.87,3,
21,2011,全日本大学選手権大会,50,m4+,予選D組,2,日本体育大学,102.8,212.41,323.81,431.75,4,
22,2011,全日本大学選手権大会,50,m4+,予選D組,1,広島大学,107.94,219.96,332.94,444.95,5,
23,2011,全日本大学選手権大会,50,m4+,予選D組,6,,0,0,0,0,,
24,2011,全日本大学選手権大会,51,m4+,予選E組,4,中央大学,97.68,203.96,309.85,414.22,1,→Semi-Final
25,2011,全日本大学選手権大会,51,m4+,予選E組,2,京都大学,99.51,207.52,314.2,422.16,2,
26,2011,全日本大学選手権大会,51,m4+,予選E組,5,滋賀大学教育学部,107.64,218.04,329.02,439.63,3,
27,2011,全日本大学選手権大会,51,m4+,予選E組,3,大阪市立大学,107.08,221.95,333.82,446.26,4,
28,2011,全日本大学選手権大会,51,m4+,予選E組,1,防衛大学校,113.61,233.98,353.01,472.36,5,
29,2011,全日本大学選手権大会,51,m4+,予選E組,6,,0,0,0,0,,
30,2011,全日本大学選手権大会,52,m4+,予選F組,2,日本大学,94.01,193.17,292.94,393.63,1,→Semi-Final
31,2011,全日本大学選手権大会,52,m4+,予選F組,3,仙台大学,96,196.13,295.94,396.26,2,
32,2011,全日本大学選手権大会,52,m4+,予選F組,1,富山国際大学,96.92,197.55,299.12,399.64,3,
33,2011,全日本大学選手権大会,52,m4+,予選F組,4,東京経済大学,99.62,207.42,315.44,423.6,4,
34,2011,全日本大学選手権大会,52,m4+,予選F組,5,大阪府立大学,106.99,219.12,330.31,444.5,5,
35,2011,全日本大学選手権大会,52,m4+,予選F組,6,,0,0,0,0,,
36,2011,全日本大学選手権大会,53,m4+,予選G組,3,明治大学,98.66,201.62,307.01,411.19,1,→Semi-Final
37,2011,全日本大学選手権大会,53,m4+,予選G組,2,東北大学,101.16,204.18,309.43,412.52,2,
38,2011,全日本大学選手権大会,53,m4+,予選G組,5,熊本大学,103.66,213.46,324.63,430.68,3,
39,2011,全日本大学選手権大会,53,m4+,予選G組,4,島根大学,101.56,210.44,322.13,430.83,4,
40,2011,全日本大学選手権大会,53,m4+,予選G組,1,近畿大学,105.56,241.26,362.52,478.96,5,
41,2011,全日本大学選手権大会,53,m4+,予選G組,6,,0,0,0,0,,
42,2011,全日本大学選手権大会,54,m4+,予選H組,2,立命館大学,99.75,206.17,313.26,418.77,1,→Semi-Final
43,2011,全日本大学選手権大会,54,m4+,予選H組,3,東京大学,99.23,206.97,316.29,422.91,2,
44,2011,全日本大学選手権大会,54,m4+,予選H組,1,鹿児島大学,103.34,215.34,325.65,432.28,3,
45,2011,全日本大学選手権大会,54,m4+,予選H組,4,滋賀医科大学,105.44,215.56,324.2,433.5,4,
46,2011,全日本大学選手権大会,54,m4+,予選H組,5,佐賀大学医学部,108.41,220,330.44,438.88,5,
47,2011,全日本大学選手権大会,54,m4+,予選H組,6,,0,0,0,0,,
48,2011,全日本大学選手権大会,111,m4+,敗復A組,3,東京大学,115.32,236.4,361.88,487.75,1,→Semi-Final
49,2011,全日本大学選手権大会,111,m4+,敗復A組,5,滋賀大学教育学部,121.85,244.9,369.86,494.68,2,
50,2011,全日本大学選手権大会,111,m4+,敗復A組,2,佐賀大学医学部,123.78,249.84,376.46,497.58,3,
51,2011,全日本大学選手権大会,111,m4+,敗復A組,4,北海道大学,121.02,247.49,375.91,501.58,4,
52,2011,全日本大学選手権大会,111,m4+,敗復A組,1,,0,0,0,0,,
53,2011,全日本大学選手権大会,111,m4+,敗復A組,6,,0,0,0,0,,
54,2011,全日本大学選手権大会,112,m4+,敗復B組,3,一橋大学,119.71,249.54,377.25,501.48,1,→Semi-Final
55,2011,全日本大学選手権大会,112,m4+,敗復B組,4,東京経済大学,120.04,249.12,381.35,509.7,2,
56,2011,全日本大学選手権大会,112,m4+,敗復B組,2,福島県立医科大学,119.46,254.36,391.58,524.23,3,
57,2011,全日本大学選手権大会,112,m4+,敗復B組,5,大阪府立大学,122.63,262.42,403.11,533.07,4,
58,2011,全日本大学選手権大会,112,m4+,敗復B組,1,,0,0,0,0,,
