,year,block,sex,category,order,name,time,age,team
0,2011,A_hokkai,F,13～15才,1,鹿角 瑠菜,09:07.1,14,函館市立西中学校
1,2011,A_hokkai,F,13～15才,2,戸館 侑那,10:02.5,14,函館市立西中学校
2,2011,A_hokkai,F,13～15才,3,戸館 玲那,10:05.0,14,函館市立西中学校
3,2011,A_hokkai,F,16～18才,1,小林 眞弓,07:39.9,18,小樽潮陵高等学校
4,2011,A_hokkai,F,16～18才,2,八代 遊季,07:57.3,17,石狩翔陽高校
5,2011,A_hokkai,F,16～18才,4,中村 眞歩,08:28.4,16,石狩翔陽高校
6,2011,A_hokkai,F,16～18才,5,海老 沙由香,08:40.5,16,函館水産高校
7,2011,A_hokkai,F,16～18才,6,金谷 夢音,08:41.3,17,石狩翔陽高校
8,2011,A_hokkai,F,16～18才,7,山本 霞,08:41.8,16,石狩翔陽高校
9,2011,A_hokkai,F,16～18才,8,小河 芽生,08:42.7,16,網走桂陽高校
10,2011,A_hokkai,F,16～18才,9,山本 里実,08:47.4,16,石狩翔陽高校
11,2011,A_hokkai,F,16～18才,10,原田 綾,08:54.9,17,石狩翔陽高校
12,2011,A_hokkai,F,16～18才,12,伊勢 絢弥,08:58.9,17,函館水産高校
13,2011,A_hokkai,F,16～18才,13,小川 みゆき,09:09.5,17,函館水産高校
14,2011,A_hokkai,F,16～18才,14,小原 桃子,09:17.8,18,石狩翔陽高校
15,2011,A_hokkai,F,16～18才,15,廣瀨 悠妃,09:22.5,17,網走桂陽高校
16,2011,A_hokkai,F,19～29才：軽量級,1,伊倉 万理,08:02.6,20,北海道大学
17,2011,A_hokkai,F,19～29才：軽量級,2,石川 世梨奈,08:03.7,21,北海道大学
18,2011,A_hokkai,F,19～29才：軽量級,3,呉人 花,08:13.8,19,北海道大学
19,2011,A_hokkai,F,19～29才：軽量級,3,岩澤 実茄,08:13.8,21,小樽商科大学
20,2011,A_hokkai,F,19～29才：軽量級,5,瀬尾 玲美,08:14.3,19,小樽商科大学
21,2011,A_hokkai,F,19～29才：軽量級,6,箕浦 るん,08:15.0,22,北海道大学
22,2011,A_hokkai,F,19～29才：軽量級,7,斉藤 希,08:35.9,19,北海道大学
23,2011,A_hokkai,F,30～39才：軽量級,1,堂面 明子,08:55.7,32,道新RC
24,2011,A_hokkai,F,50～59才：軽量級,1,板垣 泰子,10:10.8,55,"総合型地域スポーツクラブ
Bay Walk Communityはこだて"
