,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2013,freshman,40,m4+,予選A組,4,仙台大学,01:34.38,03:14.69,04:57.15,06:40.07,1,→Semi-Final
1,2013,freshman,40,m4+,予選A組,1,岐阜経済大学,01:38.53,03:20.79,05:02.81,06:45.56,2,
2,2013,freshman,40,m4+,予選A組,6,立教大学,01:36.61,03:21.63,05:07.81,06:55.48,3,
3,2013,freshman,40,m4+,予選A組,3,東京経済大学,01:38.27,03:23.35,05:11.14,06:57.54,4,
4,2013,freshman,40,m4+,予選A組,5,防衛大学校,01:40.44,03:28.95,05:19.10,07:05.90,5,
5,2013,freshman,40,m4+,予選A組,2,小樽商科大学,01:42.51,03:35.56,05:30.69,07:27.56,6,
6,2013,freshman,41,m4+,予選B組,2,龍谷大学,01:36.12,03:17.62,04:59.72,06:40.59,1,→Semi-Final
7,2013,freshman,41,m4+,予選B組,3,立命館大学,01:37.36,03:19.90,05:01.73,06:43.98,2,
8,2013,freshman,41,m4+,予選B組,6,大阪大学,01:42.65,03:28.75,05:15.26,06:58.14,3,
9,2013,freshman,41,m4+,予選B組,1,大阪府立大学,01:39.98,03:25.25,05:12.03,06:59.41,4,
10,2013,freshman,41,m4+,予選B組,5,名古屋大学,01:39.63,03:25.60,05:15.01,07:02.85,5,
11,2013,freshman,41,m4+,予選B組,4,東京工業大学,01:41.42,03:30.09,05:22.10,07:08.25,6,
12,2013,freshman,42,m4+,予選C組,1,東海大学,01:36.56,03:19.15,05:02.84,06:45.19,1,→Semi-Final
13,2013,freshman,42,m4+,予選C組,3,神戸大学,01:39.83,03:27.61,05:17.15,07:04.72,2,
14,2013,freshman,42,m4+,予選C組,6,トヨタ自動車,01:40.44,03:28.26,05:18.58,07:05.65,3,
15,2013,freshman,42,m4+,予選C組,2,成蹊大学,01:48.24,03:30.30,05:36.13,07:25.86,4,
16,2013,freshman,42,m4+,予選C組,5,筑波大学,01:48.55,03:41.29,05:37.97,07:30.62,5,
17,2013,freshman,42,m4+,予選C組,4,岡山大学,,,,,,除外
18,2013,freshman,43,m4+,予選D組,5,茨城大学,01:36.10,03:21.90,05:06.39,06:50.24,1,→Semi-Final
19,2013,freshman,43,m4+,予選D組,4,日本体育大学,01:35.80,03:20.99,05:07.53,06:54.71,2,
20,2013,freshman,43,m4+,予選D組,6,一橋大学,01:39.67,03:23.53,05:12.30,07:01.39,3,
21,2013,freshman,43,m4+,予選D組,1,山口大学,01:43.52,03:32.94,05:19.75,07:04.81,4,
22,2013,freshman,43,m4+,予選D組,2,学習院大学,01:46.48,03:39.26,05:32.04,07:27.35,5,
23,2013,freshman,43,m4+,予選D組,3,松山大学,01:48.90,03:40.88,05:35.73,07:32.62,6,
24,2013,freshman,85,m4+,敗復A組,2,トヨタ自動車,01:48.53,03:44.53,05:45.92,07:37.74,1,→Semi-Final
25,2013,freshman,85,m4+,敗復A組,3,立教大学,01:47.13,03:44.00,05:43.35,07:39.45,2,
26,2013,freshman,85,m4+,敗復A組,4,東京経済大学,01:49.77,03:44.74,05:44.44,07:41.52,3,
27,2013,freshman,85,m4+,敗復A組,1,岡山大学,01:46.31,03:44.29,05:46.23,07:48.79,4,
28,2013,freshman,85,m4+,敗復A組,5,防衛大学校,01:53.25,03:54.99,06:02.69,08:05.65,5,
29,2013,freshman,85,m4+,敗復A組,6,,,,,,,
30,2013,freshman,86,m4+,敗復B組,3,日本体育大学,01:44.50,03:35.86,05:29.13,07:24.91,1,→Semi-Final
31,2013,freshman,86,m4+,敗復B組,2,山口大学,01:46.38,03:41.27,05:34.86,07:31.19,2,
32,2013,freshman,86,m4+,敗復B組,4,大阪大学,01:47.60,03:42.74,05:38.41,07:37.54,3,
33,2013,freshman,86,m4+,敗復B組,5,東京工業大学,01:50.45,03:47.82,05:44.33,07:44.53,4,
34,2013,freshman,86,m4+,敗復B組,1,松山大学,01:51.58,03:51.23,05:53.77,07:59.39,5,
35,2013,freshman,86,m4+,敗復B組,6,,,,,,,
36,2013,freshman,87,m4+,敗復C組,3,岐阜経済大学,01:47.15,03:41.03,05:36.81,07:29.41,1,→Semi-Final
37,2013,freshman,87,m4+,敗復C組,4,大阪府立大学,01:49.90,03:45.70,05:41.43,07:34.98,2,
38,2013,freshman,87,m4+,敗復C組,2,神戸大学,01:48.34,03:44.24,05:41.93,07:37.71,3,
39,2013,freshman,87,m4+,敗復C組,5,成蹊大学,01:56.45,03:54.49,05:56.18,07:56.61,4,
40,2013,freshman,87,m4+,敗復C組,1,筑波大学,01:55.35,03:56.36,06:00.95,08:04.03,5,
41,2013,freshman,87,m4+,敗復C組,6,,,,,,,
42,2013,freshman,88,m4+,敗復D組,3,立命館大学,01:42.82,03:31.45,05:22.35,07:10.45,1,→Semi-Final
43,2013,freshman,88,m4+,敗復D組,4,一橋大学,01:45.80,03:37.61,05:32.33,07:24.68,2,
44,2013,freshman,88,m4+,敗復D組,2,名古屋大学,01:46.20,03:40.43,05:36.71,07:32.31,3,
45,2013,freshman,88,m4+,敗復D組,5,学習院大学,01:52.97,03:49.48,05:44.56,07:38.10,4,
46,2013,freshman,88,m4+,敗復D組,1,小樽商科大学,01:48.48,03:46.95,05:51.30,08:03.69,5,
47,2013,freshman,88,m4+,敗復D組,6,,,,,,,
48,2013,freshman,112,m4+,準決A組,4,茨城大学,01:36.69,03:20.38,05:05.85,06:48.81,1,→Final A
49,2013,freshman,112,m4+,準決A組,2,立命館大学,01:40.02,03:24.16,05:07.92,06:50.10,2,→Final A
50,2013,freshman,112,m4+,準決A組,3,仙台大学,01:37.67,03:22.11,05:06.94,06:51.49,3,→Final B
51,2013,freshman,112,m4+,準決A組,5,トヨタ自動車,01:40.74,03:31.03,05:22.26,07:15.30,4,→Final B
52,2013,freshman,112,m4+,準決A組,1,,,,,,,
53,2013,freshman,112,m4+,準決A組,6,,,,,,,
54,2013,freshman,113,m4+,準決B組,5,岐阜経済大学,01:41.71,03:26.99,05:10.21,06:54.14,1,→Final A
55,2013,freshman,113,m4+,準決B組,3,龍谷大学,01:38.22,03:23.47,05:09.40,06:55.50,2,→Final A
56,2013,freshman,113,m4+,準決B組,4,東海大学,01:39.10,03:23.73,05:09.61,06:58.42,3,→Final B
57,2013,freshman,113,m4+,準決B組,2,日本体育大学,01:42.02,03:29.53,05:15.37,07:04.25,4,→Final B
58,2013,freshman,113,m4+,準決B組,1,,,,,,,
59,2013,freshman,113,m4+,準決B組,6,,,,,,,
60,2013,freshman,126,m4+,順決,3,仙台大学,01:38.76,03:22.54,05:10.35,06:54.33,1,
61,2013,freshman,126,m4+,順決,4,東海大学,01:40.19,03:24.82,05:11.78,06:58.27,2,
62,2013,freshman,126,m4+,順決,2,日本体育大学,01:41.55,03:28.69,05:19.50,07:02.26,3,
63,2013,freshman,126,m4+,順決,5,トヨタ自動車,01:43.62,03:27.44,05:18.04,07:03.08,4,
64,2013,freshman,126,m4+,順決,1,,,,,,,
65,2013,freshman,126,m4+,順決,6,,,,,,,
66,2013,freshman,127,m4+,決勝,4,立命館大学,01:38.30,03:20.19,05:03.72,06:43.72,1,
67,2013,freshman,127,m4+,決勝,5,龍谷大学,01:36.31,03:20.01,05:04.54,06:46.47,2,
68,2013,freshman,127,m4+,決勝,3,茨城大学,01:35.16,03:19.16,05:07.47,06:53.79,3,
69,2013,freshman,127,m4+,決勝,2,岐阜経済大学,01:41.17,03:28.33,05:16.00,07:00.69,4,
70,2013,freshman,127,m4+,決勝,1,,,,,,,
71,2013,freshman,127,m4+,決勝,6,,,,,,,
72,2013,freshman,44,w4x+,予選A組,5,明治大学,01:44.89,03:35.66,05:27.23,07:19.05,1,→Semi-Final
73,2013,freshman,44,w4x+,予選A組,2,龍谷大学,01:47.89,03:43.03,05:39.84,07:34.94,2,
74,2013,freshman,44,w4x+,予選A組,4,浦和第一女子高校,01:55.04,03:53.57,05:51.94,07:50.75,3,
75,2013,freshman,44,w4x+,予選A組,3,今治西高校,01:56.98,04:00.15,06:03.38,08:06.10,4,
76,2013,freshman,44,w4x+,予選A組,1,,,,,,,
77,2013,freshman,44,w4x+,予選A組,6,,,,,,,
78,2013,freshman,45,w4x+,予選B組,4,日本体育大学,01:49.60,03:44.64,05:38.23,07:31.31,1,→Semi-Final
79,2013,freshman,45,w4x+,予選B組,3,山口大学,01:57.08,03:59.19,06:00.72,08:01.99,2,
80,2013,freshman,45,w4x+,予選B組,2,東北大学,02:11.05,04:18.50,06:22.30,08:21.68,3,
81,2013,freshman,45,w4x+,予選B組,1,,,,,,,
82,2013,freshman,45,w4x+,予選B組,5,,,,,,,
83,2013,freshman,45,w4x+,予選B組,6,,,,,,,
84,2013,freshman,46,w4x+,予選C組,4,法政大学B,01:50.78,03:45.70,05:41.90,07:37.32,1,→Semi-Final
85,2013,freshman,46,w4x+,予選C組,3,京都大学,01:52.26,03:50.61,05:46.91,07:42.66,2,
86,2013,freshman,46,w4x+,予選C組,2,岡山大学,01:54.40,03:56.51,05:59.44,07:59.69,3,
87,2013,freshman,46,w4x+,予選C組,1,,,,,,,
88,2013,freshman,46,w4x+,予選C組,5,,,,,,,
89,2013,freshman,46,w4x+,予選C組,6,,,,,,,
90,2013,freshman,47,w4x+,予選D組,3,早稲田大学,01:43.76,03:33.42,05:24.46,07:13.98,1,→Semi-Final
91,2013,freshman,47,w4x+,予選D組,2,法政大学A,01:46.75,03:38.29,05:31.01,07:24.30,2,
92,2013,freshman,47,w4x+,予選D組,4,大阪市立大学,01:57.75,03:59.19,05:59.48,07:59.53,3,
93,2013,freshman,47,w4x+,予選D組,1,,,,,,,
94,2013,freshman,47,w4x+,予選D組,5,,,,,,,
95,2013,freshman,47,w4x+,予選D組,6,,,,,,,
96,2013,freshman,89,w4x+,敗復A組,3,龍谷大学,01:54.13,03:57.45,06:03.58,08:05.74,1,→Semi-Final
97,2013,freshman,89,w4x+,敗復A組,4,京都大学,01:56.83,04:02.73,06:13.24,08:19.62,2,→Semi-Final
98,2013,freshman,89,w4x+,敗復A組,2,岡山大学,01:59.81,04:09.73,06:22.45,08:34.14,3,
99,2013,freshman,89,w4x+,敗復A組,5,山口大学,02:01.84,04:16.72,06:33.89,08:48.10,4,
100,2013,freshman,89,w4x+,敗復A組,1,,,,,,,
101,2013,freshman,89,w4x+,敗復A組,6,,,,,,,
102,2013,freshman,90,w4x+,敗復B組,3,法政大学A,01:54.09,03:53.60,05:55.48,07:54.77,1,→Semi-Final
103,2013,freshman,90,w4x+,敗復B組,4,浦和第一女子高校,02:01.88,04:06.50,06:12.54,08:17.01,2,→Semi-Final
104,2013,freshman,90,w4x+,敗復B組,2,大阪市立大学,02:01.05,04:10.07,06:22.44,08:32.71,3,
105,2013,freshman,90,w4x+,敗復B組,1,東北大学,02:06.69,04:19.64,06:33.68,08:44.27,4,
106,2013,freshman,90,w4x+,敗復B組,5,今治西高校,02:07.39,04:24.21,06:39.85,08:51.27,5,
107,2013,freshman,90,w4x+,敗復B組,6,,,,,,,
108,2013,freshman,114,w4x+,準決A組,3,早稲田大学,01:45.64,03:35.75,05:31.32,07:28.53,1,→Final A
109,2013,freshman,114,w4x+,準決A組,2,法政大学A,01:51.70,03:44.42,05:38.91,07:36.33,2,→Final A
110,2013,freshman,114,w4x+,準決A組,4,法政大学B,01:54.43,03:49.04,05:46.86,07:45.53,3,→Final B
111,2013,freshman,114,w4x+,準決A組,5,京都大学,01:59.51,03:56.41,05:53.95,07:53.61,4,→Final B
112,2013,freshman,114,w4x+,準決A組,1,,,,,,,
113,2013,freshman,114,w4x+,準決A組,6,,,,,,,
114,2013,freshman,115,w4x+,準決B組,3,明治大学,01:45.63,03:37.62,05:30.72,07:22.37,1,→Final A
115,2013,freshman,115,w4x+,準決B組,2,龍谷大学,01:48.19,03:40.32,05:33.18,07:25.40,2,→Final A
116,2013,freshman,115,w4x+,準決B組,4,日本体育大学,01:51.34,03:42.25,05:35.30,07:27.92,3,→Final B
