,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2000,intercollege,5,m4+,予選A組,6,中央大学,01:40.02,03:23.04,05:09.98,06:54.53,1,->Semi-Final
1,2000,intercollege,5,m4+,予選A組,3,埼玉大学,01:43.96,03:34.71,05:25.14,07:15.88,2,
2,2000,intercollege,5,m4+,予選A組,1,名古屋大学,01:45.55,03:36.93,05:30.21,07:22.69,3,
3,2000,intercollege,5,m4+,予選A組,2,徳島大学,01:49.11,03:43.93,05:38.89,07:38.47,4,
4,2000,intercollege,5,m4+,予選A組,4,山口大学,01:46.24,03:40.32,05:40.73,07:40.20,5,
5,2000,intercollege,5,m4+,予選A組,5,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,6,
6,2000,intercollege,6,m4+,予選B組,3,明治大学,01:41.33,03:30.29,05:19.55,07:06.88,1,->Semi-Final
7,2000,intercollege,6,m4+,予選B組,5,立教大学,01:43.80,03:32.20,05:20.76,07:07.16,2,
8,2000,intercollege,6,m4+,予選B組,1,東北学院大学,01:43.17,03:33.96,05:25.60,07:14.69,3,
9,2000,intercollege,6,m4+,予選B組,6,一橋大学,01:44.81,03:35.48,05:27.54,07:22.06,4,
10,2000,intercollege,6,m4+,予選B組,4,慶應義塾大学,01:52.12,03:46.41,05:43.04,07:36.10,5,
11,2000,intercollege,6,m4+,予選B組,2,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,6,
12,2000,intercollege,7,m4+,予選C組,1,東京大学,01:46.11,03:39.76,05:34.45,07:26.44,1,->Semi-Final
13,2000,intercollege,7,m4+,予選C組,4,鳥取大学,01:48.28,03:41.75,05:37.10,07:33.27,2,
14,2000,intercollege,7,m4+,予選C組,5,名古屋工業大学,01:53.24,03:48.54,05:44.72,07:40.44,3,
15,2000,intercollege,7,m4+,予選C組,2,大阪府立大学,01:52.07,03:50.78,05:49.36,07:45.81,4,
16,2000,intercollege,7,m4+,予選C組,6,南山大学,01:54.06,03:50.26,05:47.57,07:46.15,5,
