,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2000,43,m1x,予選A組,3,小日向謙一(札幌RC),02:00.03,04:06.47,06:11.30,08:11.42,1,->Semi-Final
1,2000,43,m1x,予選A組,4,羅暁鋒(香港),02:07.38,04:15.55,06:21.00,08:22.09,2,
2,2000,43,m1x,予選A組,6,小谷和弘(東京医科歯科大学),02:01.81,04:10.18,06:19.40,08:24.23,3,
3,2000,43,m1x,予選A組,2,小泉誠史(龍谷大学),02:05.58,04:19.57,06:30.11,08:36.45,4,
4,2000,43,m1x,予選A組,5,清水秀哉(千葉大学),02:06.61,04:20.57,06:32.64,08:44.74,5,
5,2000,43,m1x,予選A組,1,金山大一郎(東京経済大学),02:08.12,04:23.39,06:37.28,08:51.93,6,
6,2000,44,m1x,予選B組,6,長谷等(中部電力),01:56.26,03:54.88,05:52.88,07:48.56,1,->Semi-Final
7,2000,44,m1x,予選B組,3,中尾慶(明治生命),02:06.41,04:13.64,06:18.49,08:19.38,2,
8,2000,44,m1x,予選B組,2,松岡紳ニ郎(秋艇会),02:01.46,04:17.10,06:36.40,08:47.62,3,
9,2000,44,m1x,予選B組,4,高崎将一(東京大学),02:14.71,04:32.65,06:48.56,08:59.09,4,
10,2000,44,m1x,予選B組,5,武富史暁(東京商船大学),02:37.14,05:08.16,07:32.24,09:45.54,5,
11,2000,44,m1x,予選B組,1,岐部佳史(国府台RC),02:25.84,04:56.54,07:28.08,09:58.24,6,
12,2000,45,m1x,予選C組,2,三本和明(東レ滋賀),01:54.36,03:52.20,05:59.24,07:55.86,1,->Semi-Final
13,2000,45,m1x,予選C組,6,上野晋(道新RC),02:00.73,04:06.30,06:11.84,08:25.36,2,
14,2000,45,m1x,予選C組,5,吉田賢司(三洋電機滋賀),02:02.52,04:11.19,06:21.39,08:34.67,3,
15,2000,45,m1x,予選C組,1,井上晋吾(兵庫大学),02:04.57,04:14.02,06:25.96,08:41.16,4,
16,2000,45,m1x,予選C組,4,楠本恭介(鹿屋体育大学),02:07.32,04:16.16,06:29.45,08:43.42,5,
17,2000,45,m1x,予選C組,3,林達郎(日本医科大学),02:07.56,04:06.30,06:37.14,08:58.80,6,
18,2000,46,m1x,予選D組,6,本宮弘(筑波大学),02:00.80,04:10.22,06:19.08,08:33.24,1,->Semi-Final
19,2000,46,m1x,予選D組,1,矢地洋二(中国電力),01:59.38,04:08.62,06:21.84,08:46.72,2,
20,2000,46,m1x,予選D組,4,山本純哉(立命館大学),02:10.05,04:23.07,06:34.54,08:50.27,3,
21,2000,46,m1x,予選D組,2,松島洋平(一橋大学),02:10.24,04:26.20,06:41.21,09:04.90,4,
22,2000,46,m1x,予選D組,3,遠藤一史(東北学院大学),02:05.75,04:24.98,06:45.76,09:12.65,5,
23,2000,46,m1x,予選D組,5,松尾大樹(成城大学),02:05.51,04:22.84,06:48.44,09:24.64,6,
24,2000,47,m1x,予選E組,5,水本孝志(富山国際大学),01:59.07,04:10.25,06:25.84,08:39.49,1,->Semi-Final
25,2000,47,m1x,予選E組,4,河村淳(慶應義塾大学),02:01.48,04:14.75,06:27.54,08:39.77,2,
26,2000,47,m1x,予選E組,2,児玉一成(中央大学),02:03.44,04:17.65,06:33.14,08:54.48,3,
27,2000,47,m1x,予選E組,6,山口智之(東京トヨペット),02:05.08,04:24.54,06:50.75,09:18.33,4,
28,2000,47,m1x,予選E組,3,白瀬茂(東京外国語大学),02:11.14,04:36.76,07:08.29,09:40.06,5,
29,2000,47,m1x,予選E組,1,,,,,,,
30,2000,48,m1x,予選F組,5,久保武大(日本体育大学),01:55.95,04:03.63,06:16.41,08:22.85,1,->Semi-Final
31,2000,48,m1x,予選F組,4,篠原伸彦(NTT滋賀),02:06.25,04:22.06,06:44.20,09:01.66,2,
32,2000,48,m1x,予選F組,2,馬目英幸(成城船頭会),02:12.79,04:32.20,06:51.15,09:04.94,3,
33,2000,48,m1x,予選F組,3,菊池健司(北海道大学),02:11.64,04:35.14,07:02.00,09:24.10,4,
34,2000,48,m1x,予選F組,1,,,,,,,
35,2000,48,m1x,予選F組,6,西岡孝一(トヨタ自動車),,,,,,棄権
36,2000,49,m1x,予選G組,4,木村昇(日本大学),02:00.45,04:11.04,06:18.91,08:25.51,1,->Semi-Final
37,2000,49,m1x,予選G組,6,池田勉(成蹊大学),02:06.86,04:23.35,06:35.14,08:46.14,2,
38,2000,49,m1x,予選G組,3,森山修(関西電力美浜RC),02:00.84,04:17.56,06:34.10,08:52.75,3,
39,2000,49,m1x,予選G組,5,中上仰(PML),02:11.56,04:36.59,06:59.88,09:19.67,4,
40,2000,49,m1x,予選G組,2,橘完太(名古屋大学),02:03.58,05:18.04,07:37.35,09:54.92,5,
41,2000,49,m1x,予選G組,1,,,,,,,
42,2000,50,m1x,予選H組,2,武田大作(ダイキ),01:51.48,03:48.56,05:51.95,07:52.76,1,->Semi-Final
43,2000,50,m1x,予選H組,5,谷川昌彦(香川RC),02:04.26,04:14.74,06:26.28,08:35.60,2,
44,2000,50,m1x,予選H組,3,田中良征(江戸川大学),02:01.28,04:11.30,06:26.59,08:39.99,3,
45,2000,50,m1x,予選H組,6,安藤隆博(法政大学),02:09.45,04:20.29,06:38.75,08:56.56,4,
46,2000,50,m1x,予選H組,4,村井邦彦(ゲキサルRC),02:07.45,04:22.34,06:42.34,08:59.94,5,
47,2000,50,m1x,予選H組,1,,,,,,,
48,2000,89,m1x,敗復A組,3,田中良征(江戸川大学),01:54.39,03:57.48,05:58.06,07:58.02,1,->Semi-Final
49,2000,89,m1x,敗復A組,4,河村淳(慶應義塾大学),02:01.52,04:05.05,06:04.98,08:05.58,2,
50,2000,89,m1x,敗復A組,5,篠原伸彦(NTT滋賀),01:57.98,04:01.62,06:04.62,08:12.20,3,
51,2000,89,m1x,敗復A組,2,松島洋平(一橋大学),02:05.38,04:14.28,06:17.75,08:20.40,4,
52,2000,89,m1x,敗復A組,1,,,,,,,
53,2000,89,m1x,敗復A組,6,,,,,,,
54,2000,90,m1x,敗復B組,4,小泉誠史(龍谷大学),01:55.44,03:56.16,06:02.81,08:00.93,1,->Semi-Final
55,2000,90,m1x,敗復B組,3,井上晋吾(兵庫大学),01:56.25,04:04.67,06:17.56,08:16.76,2,
56,2000,90,m1x,敗復B組,5,村井邦彦(ゲキサルRC),02:00.26,04:07.38,06:16.84,08:18.21,3,
57,2000,90,m1x,敗復B組,2,馬目英幸(成城船頭会),02:05.95,04:14.82,06:28.54,08:32.26,4,
58,2000,90,m1x,敗復B組,1,,,,,,,
59,2000,90,m1x,敗復B組,6,,,,,,,
60,2000,91,m1x,敗復C組,4,谷川昌彦(香川RC),01:54.38,03:55.66,05:57.01,07:58.00,1,->Semi-Final
61,2000,91,m1x,敗復C組,3,楠本恭介(鹿屋体育大学),01:57.97,04:03.24,06:08.94,08:14.67,2,
62,2000,91,m1x,敗復C組,5,高崎将一(東京大学),02:04.11,04:13.21,06:17.71,08:19.62,3,
63,2000,91,m1x,敗復C組,2,遠藤一史(東北学院大学),01:59.75,04:08.07,06:15.85,08:25.38,4,
64,2000,91,m1x,敗復C組,1,,,,,,,
65,2000,91,m1x,敗復C組,6,,,,,,,
66,2000,92,m1x,敗復D組,4,吉田賢司(三洋電機滋賀),01:57.31,03:59.98,06:05.04,08:09.60,1,->Semi-Final
67,2000,92,m1x,敗復D組,3,清水秀哉(千葉大学),02:05.06,04:09.44,06:14.46,08:18.89,2,
68,2000,92,m1x,敗復D組,5,林達郎(日本医科大学),02:02.37,04:09.86,06:17.04,08:21.43,3,
69,2000,92,m1x,敗復D組,2,山口智之(東京トヨペット),02:05.27,04:13.66,06:24.89,08:35.34,4,
70,2000,92,m1x,敗復D組,1,,,,,,,
71,2000,92,m1x,敗復D組,6,,,,,,,
72,2000,93,m1x,敗復E組,4,上野晋(道新RC),01:52.61,03:53.40,06:03.26,08:08.81,1,->Semi-Final
