,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2001,40,m4+,予選A組,5,立命館大学,01:38.07,03:24.07,05:12.50,06:59.88,1,->Semi-Final
1,2001,40,m4+,予選A組,6,龍谷大学,01:39.03,03:26.05,05:15.69,07:05.94,2,
2,2001,40,m4+,予選A組,1,東海大学,01:43.34,03:33.02,05:27.46,07:16.44,3,
3,2001,40,m4+,予選A組,2,立教大学,01:47.78,03:39.29,05:35.54,07:30.14,4,
4,2001,40,m4+,予選A組,3,九州大学,01:55.30,03:54.80,05:53.34,07:48.50,5,
5,2001,40,m4+,予選A組,4,鹿児島大学,02:01.80,04:12.64,06:23.50,08:33.50,6,
6,2001,41,m4+,予選B組,6,同志社大学,01:38.13,03:20.79,05:05.44,06:50.60,1,->Semi-Final
7,2001,41,m4+,予選B組,3,筑波大学,01:39.45,03:28.14,05:20.44,07:15.37,2,
8,2001,41,m4+,予選B組,5,東北大学,01:43.38,03:32.84,05:25.39,07:18.24,3,
9,2001,41,m4+,予選B組,4,東京工業大学,01:41.63,03:32.42,05:25.14,07:19.09,4,
10,2001,41,m4+,予選B組,2,関西学院大学,01:45.94,03:37.93,05:31.26,07:24.85,5,
11,2001,41,m4+,予選B組,1,名古屋工業大学,01:43.85,03:35.72,05:29.95,07:26.92,6,
12,2001,42,m4+,予選C組,3,トヨタ自動車,01:39.52,03:25.69,05:14.34,07:02.20,1,->Semi-Final
13,2001,42,m4+,予選C組,6,法政大学,01:39.16,03:25.44,05:16.27,07:03.26,2,
14,2001,42,m4+,予選C組,4,富山国際大学,01:40.61,03:27.62,05:16.71,07:05.44,3,
15,2001,42,m4+,予選C組,2,早稲田大学理工学部,01:39.75,03:28.07,05:20.85,07:09.72,4,
16,2001,42,m4+,予選C組,5,一橋大学A,01:44.36,03:33.77,05:28.11,07:24.38,5,
17,2001,42,m4+,予選C組,1,北海道大学,01:46.24,03:41.86,05:40.26,07:38.54,6,
18,2001,43,m4+,予選D組,5,慶應義塾大学,01:37.06,03:21.90,05:12.49,07:02.11,1,->Semi-Final
19,2001,43,m4+,予選D組,3,東京経済大学,01:44.49,03:33.60,05:25.78,07:15.55,2,
20,2001,43,m4+,予選D組,4,小樽商科大学,01:46.88,03:36.33,05:32.14,07:26.72,3,
21,2001,43,m4+,予選D組,1,一橋大学B,01:48.80,03:41.20,05:37.72,07:33.06,4,
22,2001,43,m4+,予選D組,2,新潟大学,01:51.38,03:46.56,05:45.10,07:37.92,5,
24,2001,82,m4+,敗復A組,3,早稲田大学理工学部,01:38.38,03:22.38,05:10.59,06:56.86,1,->Semi-Final
25,2001,82,m4+,敗復A組,4,筑波大学,01:37.12,03:21.12,05:09.01,07:01.08,2,
26,2001,82,m4+,敗復A組,5,名古屋工業大学,01:43.38,03:30.37,05:20.18,07:07.54,3,
27,2001,82,m4+,敗復A組,2,小樽商科大学,01:41.50,03:26.57,05:16.30,07:07.78,4,
30,2001,83,m4+,敗復B組,3,龍谷大学,01:37.44,03:22.31,05:08.14,06:51.58,1,->Semi-Final
31,2001,83,m4+,敗復B組,4,東京経済大学,01:40.82,03:24.88,05:10.30,06:54.82,2,
32,2001,83,m4+,敗復B組,2,関西学院大学,01:45.09,03:34.46,05:26.79,07:20.96,3,
33,2001,83,m4+,敗復B組,5,立教大学,01:47.48,03:37.11,05:28.94,07:23.67,4,
34,2001,83,m4+,敗復B組,1,鹿児島大学,01:56.60,04:02.19,06:09.44,08:15.24,5,
36,2001,84,m4+,敗復C組,3,富山国際大学,01:38.49,03:21.94,05:08.60,06:56.19,1,->Semi-Final
37,2001,84,m4+,敗復C組,4,東海大学,01:41.00,03:23.27,05:10.28,07:02.01,2,
38,2001,84,m4+,敗復C組,2,一橋大学A,01:42.80,03:28.34,05:19.37,07:10.48,3,
39,2001,84,m4+,敗復C組,5,一橋大学B,01:45.38,03:32.95,05:22.76,07:13.32,4,
40,2001,84,m4+,敗復C組,1,九州大学,01:52.34,03:44.12,05:40.39,07:39.17,5,
42,2001,85,m4+,敗復D組,3,法政大学,01:38.94,03:26.32,05:13.89,07:00.04,1,->Semi-Final
