year,nace_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,500m(s),1000m(s),1500m(s),2000m(s),order,qualify
2001,40,m4+,予選A組,5,立命館大学,01:38.07,03:24.07,05:12.50,06:59.88,98.07,204.07,312.5,419.88,1,->Semi-Final
2001,40,m4+,予選A組,6,龍谷大学,01:39.03,03:26.05,05:15.69,07:05.94,99.03,206.05,315.69,425.94,2,
2001,40,m4+,予選A組,1,東海大学,01:43.34,03:33.02,05:27.46,07:16.44,103.34,213.02,327.46,436.44,3,
2001,40,m4+,予選A組,2,立教大学,01:47.78,03:39.29,05:35.54,07:30.14,107.78,219.29,335.54,450.14,4,
2001,40,m4+,予選A組,3,九州大学,01:55.30,03:54.80,05:53.34,07:48.50,115.3,234.8,353.34000000000003,468.5,5,
2001,40,m4+,予選A組,4,鹿児島大学,02:01.80,04:12.64,06:23.50,08:33.50,121.8,252.64,383.5,513.5,6,
2001,41,m4+,予選B組,6,同志社大学,01:38.13,03:20.79,05:05.44,06:50.60,98.13,200.79,305.44,410.6,1,->Semi-Final
2001,41,m4+,予選B組,3,筑波大学,01:39.45,03:28.14,05:20.44,07:15.37,99.45,208.14,320.44,435.37,2,
2001,41,m4+,予選B組,5,東北大学,01:43.38,03:32.84,05:25.39,07:18.24,103.38,212.84,325.39,438.24,3,
2001,41,m4+,予選B組,4,東京工業大学,01:41.63,03:32.42,05:25.14,07:19.09,101.63,212.42000000000002,325.14,439.09,4,
2001,41,m4+,予選B組,2,関西学院大学,01:45.94,03:37.93,05:31.26,07:24.85,105.94,217.93,331.26,444.85,5,
2001,41,m4+,予選B組,1,名古屋工業大学,01:43.85,03:35.72,05:29.95,07:26.92,103.85,215.72,329.95,446.92,6,
2001,42,m4+,予選C組,3,トヨタ自動車,01:39.52,03:25.69,05:14.34,07:02.20,99.52000000000001,205.69,314.34,422.2,1,->Semi-Final
2001,42,m4+,予選C組,6,法政大学,01:39.16,03:25.44,05:16.27,07:03.26,99.16,205.44,316.27,423.26,2,
2001,42,m4+,予選C組,4,富山国際大学,01:40.61,03:27.62,05:16.71,07:05.44,100.61,207.62,316.71,425.44,3,
2001,42,m4+,予選C組,2,早稲田大学理工学部,01:39.75,03:28.07,05:20.85,07:09.72,99.75,208.07,320.85,429.72,4,
2001,42,m4+,予選C組,5,一橋大学A,01:44.36,03:33.77,05:28.11,07:24.38,104.36,213.77,328.11,444.38,5,
2001,42,m4+,予選C組,1,北海道大学,01:46.24,03:41.86,05:40.26,07:38.54,106.24000000000001,221.86,340.26,458.54,6,
2001,43,m4+,予選D組,5,慶應義塾大学,01:37.06,03:21.90,05:12.49,07:02.11,97.06,201.9,312.49,422.11,1,->Semi-Final
2001,43,m4+,予選D組,3,東京経済大学,01:44.49,03:33.60,05:25.78,07:15.55,104.49000000000001,213.6,325.78,435.55,2,
2001,43,m4+,予選D組,4,小樽商科大学,01:46.88,03:36.33,05:32.14,07:26.72,106.88,216.32999999999998,332.14,446.72,3,
2001,43,m4+,予選D組,1,一橋大学B,01:48.80,03:41.20,05:37.72,07:33.06,108.8,221.2,337.72,453.06,4,
2001,43,m4+,予選D組,2,新潟大学,01:51.38,03:46.56,05:45.10,07:37.92,111.38,226.56,345.1,457.92,5,
2001,82,m4+,敗復A組,3,早稲田大学理工学部,01:38.38,03:22.38,05:10.59,06:56.86,98.38,202.38,310.59,416.86,1,->Semi-Final
2001,82,m4+,敗復A組,4,筑波大学,01:37.12,03:21.12,05:09.01,07:01.08,97.12,201.12,309.01,421.08,2,
2001,82,m4+,敗復A組,5,名古屋工業大学,01:43.38,03:30.37,05:20.18,07:07.54,103.38,210.37,320.18,427.54,3,
2001,82,m4+,敗復A組,2,小樽商科大学,01:41.50,03:26.57,05:16.30,07:07.78,101.5,206.57,316.3,427.78,4,
2001,83,m4+,敗復B組,3,龍谷大学,01:37.44,03:22.31,05:08.14,06:51.58,97.44,202.31,308.14,411.58,1,->Semi-Final
2001,83,m4+,敗復B組,4,東京経済大学,01:40.82,03:24.88,05:10.30,06:54.82,100.82,204.88,310.3,414.82,2,
2001,83,m4+,敗復B組,2,関西学院大学,01:45.09,03:34.46,05:26.79,07:20.96,105.09,214.46,326.79,440.96,3,
2001,83,m4+,敗復B組,5,立教大学,01:47.48,03:37.11,05:28.94,07:23.67,107.47999999999999,217.11,328.94,443.67,4,
