,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2001,40,m4+,予選A組,5,立命館大学,98.07,204.07,312.5,419.88,1,->Semi-Final
1,2001,40,m4+,予選A組,6,龍谷大学,99.03,206.05,315.69,425.94,2,
2,2001,40,m4+,予選A組,1,東海大学,103.34,213.02,327.46,436.44,3,
3,2001,40,m4+,予選A組,2,立教大学,107.78,219.29,335.54,450.14,4,
4,2001,40,m4+,予選A組,3,九州大学,115.3,234.8,353.34,468.5,5,
5,2001,40,m4+,予選A組,4,鹿児島大学,121.8,252.64,383.5,513.5,6,
6,2001,41,m4+,予選B組,6,同志社大学,98.13,200.79,305.44,410.6,1,->Semi-Final
7,2001,41,m4+,予選B組,3,筑波大学,99.45,208.14,320.44,435.37,2,
8,2001,41,m4+,予選B組,5,東北大学,103.38,212.84,325.39,438.24,3,
9,2001,41,m4+,予選B組,4,東京工業大学,101.63,212.42,325.14,439.09,4,
10,2001,41,m4+,予選B組,2,関西学院大学,105.94,217.93,331.26,444.85,5,
11,2001,41,m4+,予選B組,1,名古屋工業大学,103.85,215.72,329.95,446.92,6,
12,2001,42,m4+,予選C組,3,トヨタ自動車,99.52,205.69,314.34,422.2,1,->Semi-Final
13,2001,42,m4+,予選C組,6,法政大学,99.16,205.44,316.27,423.26,2,
14,2001,42,m4+,予選C組,4,富山国際大学,100.61,207.62,316.71,425.44,3,
15,2001,42,m4+,予選C組,2,早稲田大学理工学部,99.75,208.07,320.85,429.72,4,
16,2001,42,m4+,予選C組,5,一橋大学A,104.36,213.77,328.11,444.38,5,
17,2001,42,m4+,予選C組,1,北海道大学,106.24,221.86,340.26,458.54,6,
18,2001,43,m4+,予選D組,5,慶應義塾大学,97.06,201.9,312.49,422.11,1,->Semi-Final
19,2001,43,m4+,予選D組,3,東京経済大学,104.49,213.6,325.78,435.55,2,
20,2001,43,m4+,予選D組,4,小樽商科大学,106.88,216.33,332.14,446.72,3,
21,2001,43,m4+,予選D組,1,一橋大学B,108.8,221.2,337.72,453.06,4,
22,2001,43,m4+,予選D組,2,新潟大学,111.38,226.56,345.1,457.92,5,
24,2001,82,m4+,敗復A組,3,早稲田大学理工学部,98.38,202.38,310.59,416.86,1,->Semi-Final
25,2001,82,m4+,敗復A組,4,筑波大学,97.12,201.12,309.01,421.08,2,
26,2001,82,m4+,敗復A組,5,名古屋工業大学,103.38,210.37,320.18,427.54,3,
27,2001,82,m4+,敗復A組,2,小樽商科大学,101.5,206.57,316.3,427.78,4,
30,2001,83,m4+,敗復B組,3,龍谷大学,97.44,202.31,308.14,411.58,1,->Semi-Final
31,2001,83,m4+,敗復B組,4,東京経済大学,100.82,204.88,310.3,414.82,2,
32,2001,83,m4+,敗復B組,2,関西学院大学,105.09,214.46,326.79,440.96,3,
33,2001,83,m4+,敗復B組,5,立教大学,107.48,217.11,328.94,443.67,4,
34,2001,83,m4+,敗復B組,1,鹿児島大学,116.6,242.19,369.44,495.24,5,
36,2001,84,m4+,敗復C組,3,富山国際大学,98.49,201.94,308.6,416.19,1,->Semi-Final
37,2001,84,m4+,敗復C組,4,東海大学,101.0,203.27,310.28,422.01,2,
38,2001,84,m4+,敗復C組,2,一橋大学A,102.8,208.34,319.37,430.48,3,
39,2001,84,m4+,敗復C組,5,一橋大学B,105.38,212.95,322.76,433.32,4,
40,2001,84,m4+,敗復C組,1,九州大学,112.34,224.12,340.39,459.17,5,
42,2001,85,m4+,敗復D組,3,法政大学,98.94,206.32,313.89,420.04,1,->Semi-Final
43,2001,85,m4+,敗復D組,2,東京工業大学,102.62,212.33,319.94,427.84,2,
44,2001,85,m4+,敗復D組,4,東北大学,103.01,211.26,319.6,428.94,3,
45,2001,85,m4+,敗復D組,5,新潟大学,108.7,217.69,327.67,438.98,4,
46,2001,85,m4+,敗復D組,1,北海道大学,106.06,220.92,337.84,453.44,5,
48,2001,105,m4+,準決A組,4,慶應義塾大学,103.56,211.86,320.54,427.72,1,->Final A
49,2001,105,m4+,準決A組,2,龍谷大学,101.4,210.26,322.61,431.55,2,->Final A
50,2001,105,m4+,準決A組,3,立命館大学,101.18,211.46,323.24,434.52,3,->Final B
51,2001,105,m4+,準決A組,5,法政大学,104.14,214.99,329.57,439.8,4,->Final B
54,2001,106,m4+,準決B組,3,同志社大学,102.62,212.26,322.25,434.06,1,->Final A
55,2001,106,m4+,準決B組,4,トヨタ自動車,105.14,215.68,327.29,438.0,2,->Final A
56,2001,106,m4+,準決B組,2,富山国際大学,104.44,214.9,327.45,438.28,3,->Final B
57,2001,106,m4+,準決B組,5,早稲田大学理工学部,106.64,220.54,334.96,452.19,4,->Final B
60,2001,119,m4+,順決,3,立命館大学,101.78,211.79,323.77,433.38,1,
61,2001,119,m4+,順決,2,法政大学,104.2,213.3,325.09,435.17,2,
62,2001,119,m4+,順決,4,富山国際大学,104.61,214.38,328.17,440.61,3,
63,2001,119,m4+,順決,5,早稲田大学理工学部,105.94,219.14,335.48,453.17,4,
66,2001,120,m4+,決勝,2,同志社大学,103.38,211.65,321.2,429.53,1,
67,2001,120,m4+,決勝,3,慶應義塾大学,106.0,214.73,326.3,436.08,2,
68,2001,120,m4+,決勝,4,龍谷大学,105.34,217.26,328.79,439.55,3,
69,2001,120,m4+,決勝,5,トヨタ自動車,108.04,218.42,330.94,443.35,4,
72,2001,86,w4+,予選A組,2,名古屋大学,118.33,239.79,362.28,485.96,1,->Final A
73,2001,86,w4+,予選A組,3,立教大学,121.75,244.97,369.78,495.86,2,->Final A
74,2001,86,w4+,予選A組,5,東京水産大学,123.3,249.91,377.36,502.99,3,->Final B
75,2001,86,w4+,予選A組,4,関西大学,120.72,252.6,380.15,510.16,4,->Final B
78,2001,87,w4+,予選B組,2,北海道大学A,115.05,234.09,357.2,479.66,1,->Final A
79,2001,87,w4+,予選B組,3,新潟大学,120.99,246.73,377.87,509.38,2,->Final A
80,2001,87,w4+,予選B組,4,北海道大学B,129.01,257.95,388.4,522.78,3,->Final B
84,2001,109,w4+,順決,3,東京水産大学,132.11,267.09,404.5,541.24,1,
85,2001,109,w4+,順決,4,関西大学,133.04,270.02,409.52,550.0,2,
86,2001,109,w4+,順決,2,北海道大学B,168.46,336.05,476.57,23.3,3,
90,2001,110,w4+,決勝,3,北海道大学A,121.94,250.3,382.29,511.28,1,
91,2001,110,w4+,決勝,4,名古屋大学,122.64,251.69,384.19,514.04,2,
92,2001,110,w4+,決勝,2,立教大学,126.91,260.18,396.46,530.69,3,
93,2001,110,w4+,決勝,5,新潟大学,127.48,266.47,412.27,556.38,4,
96,2001,5,m2x,予選A組,6,岐阜経済大学,100.63,206.81,315.75,426.34,1,->Semi-Final
97,2001,5,m2x,予選A組,3,慶応義塾大学C,108.18,220.3,333.0,443.34,2,
98,2001,5,m2x,予選A組,4,東京経済大学A,104.2,215.55,330.45,444.55,3,
99,2001,5,m2x,予選A組,1,東京経済大学B,116.13,235.75,356.39,481.47,4,
100,2001,5,m2x,予選A組,5,東京大学,114.33,238.35,366.13,489.28,5,
101,2001,5,m2x,予選A組,2,新潟大学,126.04,260.25,391.41,519.34,6,
102,2001,6,m2x,予選B組,2,美方高校,104.15,216.5,327.95,435.63,1,->Semi-Final
103,2001,6,m2x,予選B組,1,法政大学,103.9,214.18,326.39,440.54,2,
