,year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
0,2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
1,2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
2,2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
3,2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
4,2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
5,2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
6,2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
7,2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
8,2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
9,2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
10,2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
11,2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
12,2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
13,2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
14,2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
15,2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
16,2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
17,2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
18,2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
19,2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
20,2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
21,2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
22,2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
23,2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
24,2000,m4+,予選E組,9,,,,,,,6,
25,2000,m4+,予選E組,9,,,,,,,6,
26,2000,m4+,予選E組,9,,,,,,,6,
27,2000,m4+,予選E組,9,,,,,,,6,
28,2000,m4+,予選E組,9,,,,,,,6,
29,2000,m4+,予選E組,9,,,,,,,6,
30,2000,m4+,予選F組,10,,,,,,,6,
31,2000,m4+,予選F組,10,,,,,,,6,
32,2000,m4+,予選F組,10,,,,,,,6,
33,2000,m4+,予選F組,10,,,,,,,6,
34,2000,m4+,予選F組,10,,,,,,,6,
35,2000,m4+,予選F組,10,,,,,,,6,
36,2000,m4+,予選G組,11,,,,,,,6,
37,2000,m4+,予選G組,11,,,,,,,6,
38,2000,m4+,予選G組,11,,,,,,,6,
39,2000,m4+,予選G組,11,,,,,,,6,
40,2000,m4+,予選G組,11,,,,,,,6,
41,2000,m4+,予選G組,11,,,,,,,6,
42,2000,m4+,予選H組,12,,,,,,,6,
43,2000,m4+,予選H組,12,,,,,,,6,
44,2000,m4+,予選H組,12,,,,,,,6,
45,2000,m4+,予選H組,12,,,,,,,6,
46,2000,m4+,予選H組,12,,,,,,,6,
47,2000,m4+,予選H組,12,,,,,,,6,
48,2000,m4+,敗復A組,65,,,,,,,6,
49,2000,m4+,敗復A組,65,,,,,,,6,
50,2000,m4+,敗復A組,65,,,,,,,6,
51,2000,m4+,敗復A組,65,,,,,,,6,
52,2000,m4+,敗復A組,65,,,,,,,6,
53,2000,m4+,敗復A組,65,,,,,,,6,
54,2000,m4+,敗復B組,66,,,,,,,6,
55,2000,m4+,敗復B組,66,,,,,,,6,
56,2000,m4+,敗復B組,66,,,,,,,6,
57,2000,m4+,敗復B組,66,,,,,,,6,
58,2000,m4+,敗復B組,66,,,,,,,6,
59,2000,m4+,敗復B組,66,,,,,,,6,
60,2000,m4+,敗復C組,67,,,,,,,6,
61,2000,m4+,敗復C組,67,,,,,,,6,
62,2000,m4+,敗復C組,67,,,,,,,6,
63,2000,m4+,敗復C組,67,,,,,,,6,
64,2000,m4+,敗復C組,67,,,,,,,6,
65,2000,m4+,敗復C組,67,,,,,,,6,
66,2000,m4+,敗復D組,68,,,,,,,6,
67,2000,m4+,敗復D組,68,,,,,,,6,
68,2000,m4+,敗復D組,68,,,,,,,6,
69,2000,m4+,敗復D組,68,,,,,,,6,
70,2000,m4+,敗復D組,68,,,,,,,6,
71,2000,m4+,敗復D組,68,,,,,,,6,
72,2000,m4+,敗復E組,69,,,,,,,6,
73,2000,m4+,敗復E組,69,,,,,,,6,
74,2000,m4+,敗復E組,69,,,,,,,6,
75,2000,m4+,敗復E組,69,,,,,,,6,
76,2000,m4+,敗復E組,69,,,,,,,6,
77,2000,m4+,敗復E組,69,,,,,,,6,
78,2000,m4+,敗復F組,70,,,,,,,6,
79,2000,m4+,敗復F組,70,,,,,,,6,
80,2000,m4+,敗復F組,70,,,,,,,6,
81,2000,m4+,敗復F組,70,,,,,,,6,
82,2000,m4+,敗復F組,70,,,,,,,6,
83,2000,m4+,敗復F組,70,,,,,,,6,
84,2000,m4+,敗復G組,71,,,,,,,6,
85,2000,m4+,敗復G組,71,,,,,,,6,
86,2000,m4+,敗復G組,71,,,,,,,6,
87,2000,m4+,敗復G組,71,,,,,,,6,
88,2000,m4+,敗復G組,71,,,,,,,6,
89,2000,m4+,敗復G組,71,,,,,,,6,
90,2000,m4+,敗復H組,72,,,,,,,6,
91,2000,m4+,敗復H組,72,,,,,,,6,
92,2000,m4+,敗復H組,72,,,,,,,6,
93,2000,m4+,敗復H組,72,,,,,,,6,
94,2000,m4+,敗復H組,72,,,,,,,6,
95,2000,m4+,敗復H組,72,,,,,,,6,
96,2000,m4+,準決A組,129,,,,,,,6,
97,2000,m4+,準決A組,129,,,,,,,6,
98,2000,m4+,準決A組,129,,,,,,,6,
99,2000,m4+,準決A組,129,,,,,,,6,
100,2000,m4+,準決A組,129,,,,,,,6,
101,2000,m4+,準決A組,129,,,,,,,6,
102,2000,m4+,準決B組,130,,,,,,,6,
103,2000,m4+,準決B組,130,,,,,,,6,
104,2000,m4+,準決B組,130,,,,,,,6,
105,2000,m4+,準決B組,130,,,,,,,6,
106,2000,m4+,準決B組,130,,,,,,,6,
107,2000,m4+,準決B組,130,,,,,,,6,
108,2000,m4+,準決C組,131,,,,,,,6,
109,2000,m4+,準決C組,131,,,,,,,6,
110,2000,m4+,準決C組,131,,,,,,,6,
111,2000,m4+,準決C組,131,,,,,,,6,
112,2000,m4+,準決C組,131,,,,,,,6,
113,2000,m4+,準決C組,131,,,,,,,6,
114,2000,m4+,準決D組,132,,,,,,,6,
115,2000,m4+,準決D組,132,,,,,,,6,
116,2000,m4+,準決D組,132,,,,,,,6,
117,2000,m4+,準決D組,132,,,,,,,6,
118,2000,m4+,準決D組,132,,,,,,,6,
119,2000,m4+,準決D組,132,,,,,,,6,
120,2000,m4+,順決,168,,,,,,,6,
121,2000,m4+,順決,168,,,,,,,6,
122,2000,m4+,順決,168,,,,,,,6,
123,2000,m4+,順決,168,,,,,,,6,
124,2000,m4+,順決,168,,,,,,,6,
125,2000,m4+,順決,168,,,,,,,6,
126,2000,m4+,決勝,169,,,,,,,6,
127,2000,m4+,決勝,169,,,,,,,6,
128,2000,m4+,決勝,169,,,,,,,6,
129,2000,m4+,決勝,169,,,,,,,6,
130,2000,m4+,決勝,169,,,,,,,6,
131,2000,m4+,決勝,169,,,,,,,6,
132,2000,w4+,予選A組,1,,,,,,,6,
133,2000,w4+,予選A組,1,,,,,,,6,
134,2000,w4+,予選A組,1,,,,,,,6,
135,2000,w4+,予選A組,1,,,,,,,6,
136,2000,w4+,予選A組,1,,,,,,,6,
137,2000,w4+,予選A組,1,,,,,,,6,
138,2000,w4+,予選B組,2,,,,,,,6,
139,2000,w4+,予選B組,2,,,,,,,6,
140,2000,w4+,予選B組,2,,,,,,,6,
141,2000,w4+,予選B組,2,,,,,,,6,
142,2000,w4+,予選B組,2,,,,,,,6,
143,2000,w4+,予選B組,2,,,,,,,6,
144,2000,w4+,予選C組,3,,,,,,,6,
145,2000,w4+,予選C組,3,,,,,,,6,
146,2000,w4+,予選C組,3,,,,,,,6,
147,2000,w4+,予選C組,3,,,,,,,6,
148,2000,w4+,予選C組,3,,,,,,,6,
149,2000,w4+,予選C組,3,,,,,,,6,
150,2000,w4+,予選D組,4,,,,,,,6,
151,2000,w4+,予選D組,4,,,,,,,6,
152,2000,w4+,予選D組,4,,,,,,,6,
153,2000,w4+,予選D組,4,,,,,,,6,
154,2000,w4+,予選D組,4,,,,,,,6,
155,2000,w4+,予選D組,4,,,,,,,6,
156,2000,w4+,敗復A組,61,,,,,,,6,
157,2000,w4+,敗復A組,61,,,,,,,6,
158,2000,w4+,敗復A組,61,,,,,,,6,
159,2000,w4+,敗復A組,61,,,,,,,6,
160,2000,w4+,敗復A組,61,,,,,,,6,
161,2000,w4+,敗復A組,61,,,,,,,6,
162,2000,w4+,敗復B組,62,,,,,,,6,
163,2000,w4+,敗復B組,62,,,,,,,6,
164,2000,w4+,敗復B組,62,,,,,,,6,
165,2000,w4+,敗復B組,62,,,,,,,6,
166,2000,w4+,敗復B組,62,,,,,,,6,
167,2000,w4+,敗復B組,62,,,,,,,6,
168,2000,w4+,敗復C組,63,,,,,,,6,
169,2000,w4+,敗復C組,63,,,,,,,6,
170,2000,w4+,敗復C組,63,,,,,,,6,
171,2000,w4+,敗復C組,63,,,,,,,6,
172,2000,w4+,敗復C組,63,,,,,,,6,
173,2000,w4+,敗復C組,63,,,,,,,6,
174,2000,w4+,敗復D組,64,,,,,,,6,
175,2000,w4+,敗復D組,64,,,,,,,6,
176,2000,w4+,敗復D組,64,,,,,,,6,
177,2000,w4+,敗復D組,64,,,,,,,6,
178,2000,w4+,敗復D組,64,,,,,,,6,
179,2000,w4+,敗復D組,64,,,,,,,6,
180,2000,w4+,準決A組,127,,,,,,,6,
181,2000,w4+,準決A組,127,,,,,,,6,
182,2000,w4+,準決A組,127,,,,,,,6,
183,2000,w4+,準決A組,127,,,,,,,6,
184,2000,w4+,準決A組,127,,,,,,,6,
185,2000,w4+,準決A組,127,,,,,,,6,
186,2000,w4+,準決B組,128,,,,,,,6,
187,2000,w4+,準決B組,128,,,,,,,6,
188,2000,w4+,準決B組,128,,,,,,,6,
189,2000,w4+,準決B組,128,,,,,,,6,
190,2000,w4+,準決B組,128,,,,,,,6,
191,2000,w4+,準決B組,128,,,,,,,6,
192,2000,w4+,順決,166,,,,,,,6,
193,2000,w4+,順決,166,,,,,,,6,
194,2000,w4+,順決,166,,,,,,,6,
195,2000,w4+,順決,166,,,,,,,6,
196,2000,w4+,順決,166,,,,,,,6,
197,2000,w4+,順決,166,,,,,,,6,
198,2000,w4+,決勝,167,,,,,,,6,
199,2000,w4+,決勝,167,,,,,,,6,
200,2000,w4+,決勝,167,,,,,,,6,
201,2000,w4+,決勝,167,,,,,,,6,
202,2000,w4+,決勝,167,,,,,,,6,
203,2000,w4+,決勝,167,,,,,,,6,
204,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
205,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
206,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
207,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
208,2000,m2x,予選A組,19,6,徳島大学,02:01.35,04:11.91,06:22.52,08:34.24,1,
