year,boat_type,section_code,race_number,order,team,500m,1000m,1500m,2000m,lane,qualify
2000,m4+,予選A組,5,1,中央大学,01:40.02,03:23.04,05:09.98,06:54.53,6,->Semi-Final
2000,m4+,予選A組,5,2,埼玉大学,01:43.96,03:34.71,05:25.14,07:15.88,3,
2000,m4+,予選A組,5,3,名古屋大学,01:45.55,03:36.93,05:30.21,07:22.69,1,
2000,m4+,予選A組,5,4,徳島大学,01:49.11,03:43.93,05:38.89,07:38.47,2,
2000,m4+,予選A組,5,5,山口大学,01:46.24,03:40.32,05:40.73,07:40.20,4,
2000,m4+,予選A組,5,6,香川大学,01:51.51,03:48.20,05:45.35,07:42.38,5,
2000,m4+,予選B組,6,1,明治大学,01:41.33,03:30.29,05:19.55,07:06.88,3,->Semi-Final
2000,m4+,予選B組,6,2,立教大学,01:43.80,03:32.20,05:20.76,07:07.16,5,
2000,m4+,予選B組,6,3,東北学院大学,01:43.17,03:33.96,05:25.60,07:14.69,1,
2000,m4+,予選B組,6,4,一橋大学,01:44.81,03:35.48,05:27.54,07:22.06,6,
2000,m4+,予選B組,6,5,慶應義塾大学,01:52.12,03:46.41,05:43.04,07:36.10,4,
2000,m4+,予選B組,6,6,滋賀大学教育学部,01:51.17,03:47.57,05:44.57,07:38.63,2,
2000,m4+,予選C組,7,1,東京大学,01:46.11,03:39.76,05:34.45,07:26.44,1,->Semi-Final
2000,m4+,予選C組,7,2,鳥取大学,01:48.28,03:41.75,05:37.10,07:33.27,4,
2000,m4+,予選C組,7,3,名古屋工業大学,01:53.24,03:48.54,05:44.72,07:40.44,5,
2000,m4+,予選C組,7,4,大阪府立大学,01:52.07,03:50.78,05:49.36,07:45.81,2,
2000,m4+,予選C組,7,5,南山大学,01:54.06,03:50.26,05:47.57,07:46.15,6,
2000,m4+,予選C組,7,6,杏林大学,01:54.38,03:52.75,05:53.56,07:51.31,3,
2000,m4+,予選D組,8,1,龍谷大学,01:41.45,03:29.01,05:18.81,07:07.58,3,->Semi-Final
2000,m4+,予選D組,8,2,岡山大学,01:47.64,03:34.09,05:23.65,07:13.69,4,
2000,m4+,予選D組,8,3,大同工業大学,01:51.76,03:46.72,05:42.61,07:36.98,2,
2000,m4+,予選D組,8,4,熊本大学,01:51.49,03:46.50,05:45.22,07:43.13,1,
2000,m4+,予選D組,8,5,福島大学,01:55.02,03:51.44,05:49.94,07:49.68,5,
2000,m4+,予選D組,8,6,石巻専修大学,01:55.55,03:54.56,05:56.26,07:54.06,6,
