,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2000,5,m4+,予選A組,6,中央大学,100.02,203.04,309.98,414.53,1.0,->Semi-Final
1,2000,5,m4+,予選A組,3,埼玉大学,103.96,214.71,325.14,435.88,2.0,
2,2000,5,m4+,予選A組,1,名古屋大学,105.55,216.93,330.21,442.69,3.0,
3,2000,5,m4+,予選A組,2,徳島大学,109.11,223.93,338.89,458.47,4.0,
4,2000,5,m4+,予選A組,4,山口大学,106.24,220.32,340.73,460.2,5.0,
5,2000,5,m4+,予選A組,5,香川大学,111.51,228.2,345.35,462.38,6.0,
6,2000,6,m4+,予選B組,3,明治大学,101.33,210.29,319.55,426.88,1.0,->Semi-Final
7,2000,6,m4+,予選B組,5,立教大学,103.8,212.2,320.76,427.16,2.0,
8,2000,6,m4+,予選B組,1,東北学院大学,103.17,213.96,325.6,434.69,3.0,
9,2000,6,m4+,予選B組,6,一橋大学,104.81,215.48,327.54,442.06,4.0,
10,2000,6,m4+,予選B組,4,慶應義塾大学,112.12,226.41,343.04,456.1,5.0,
11,2000,6,m4+,予選B組,2,滋賀大学教育学部,111.17,227.57,344.57,458.63,6.0,
12,2000,7,m4+,予選C組,1,東京大学,106.11,219.76,334.45,446.44,1.0,->Semi-Final
13,2000,7,m4+,予選C組,4,鳥取大学,108.28,221.75,337.1,453.27,2.0,
14,2000,7,m4+,予選C組,5,名古屋工業大学,113.24,228.54,344.72,460.44,3.0,
15,2000,7,m4+,予選C組,2,大阪府立大学,112.07,230.78,349.36,465.81,4.0,
16,2000,7,m4+,予選C組,6,南山大学,114.06,230.26,347.57,466.15,5.0,
17,2000,7,m4+,予選C組,3,杏林大学,114.38,232.75,353.56,471.31,6.0,
18,2000,8,m4+,予選D組,3,龍谷大学,101.45,209.01,318.81,427.58,1.0,->Semi-Final
19,2000,8,m4+,予選D組,4,岡山大学,107.64,214.09,323.65,433.69,2.0,
20,2000,8,m4+,予選D組,2,大同工業大学,111.76,226.72,342.61,456.98,3.0,
21,2000,8,m4+,予選D組,1,熊本大学,111.49,226.5,345.22,463.13,4.0,
22,2000,8,m4+,予選D組,5,福島大学,115.02,231.44,349.94,469.68,5.0,
23,2000,8,m4+,予選D組,6,石巻専修大学,115.55,234.56,356.26,474.06,6.0,
24,2000,9,m4+,予選E組,1,東北大学,102.32,212.01,325.56,435.03,1.0,->Semi-Final
25,2000,9,m4+,予選E組,4,北海道大学,102.62,213.43,326.7,437.45,2.0,
26,2000,9,m4+,予選E組,3,同志社大学,108.75,217.98,330.42,441.38,3.0,
27,2000,9,m4+,予選E組,2,新潟大学,109.38,223.05,336.42,446.32,4.0,
30,2000,10,m4+,予選F組,3,東京経済大学,102.83,209.45,319.97,423.88,1.0,->Semi-Final
31,2000,10,m4+,予選F組,5,法政大学,101.07,207.55,318.12,425.32,2.0,
32,2000,10,m4+,予選F組,1,成蹊大学,105.2,214.06,328.96,440.71,3.0,
33,2000,10,m4+,予選F組,2,滋賀大学経済学部,106.14,217.78,337.73,451.15,4.0,
34,2000,10,m4+,予選F組,4,名古屋市立大学,117.52,240.57,368.41,489.2,5.0,
36,2000,11,m4+,予選G組,3,神戸大学,107.8,218.36,332.34,444.87,1.0,->Semi-Final
37,2000,11,m4+,予選G組,2,立命館大学,109.56,222.69,336.61,446.35,2.0,
38,2000,11,m4+,予選G組,4,防衛大学校,106.52,218.56,333.28,447.27,3.0,
39,2000,11,m4+,予選G組,5,島根大学,110.31,225.51,340.59,455.27,4.0,
40,2000,11,m4+,予選G組,1,福山大学,117.34,242.18,370.48,496.1,5.0,
42,2000,12,m4+,予選H組,1,東海大学,102.58,212.14,327.84,440.49,1.0,->Semi-Final
43,2000,12,m4+,予選H組,5,東京工業大学,107.74,218.04,333.42,444.62,2.0,
44,2000,12,m4+,予選H組,3,日本大学,107.24,219.41,336.38,449.4,3.0,
45,2000,12,m4+,予選H組,4,成城大学,110.12,223.65,340.8,453.78,4.0,
46,2000,12,m4+,予選H組,2,静岡大学,114.41,231.51,355.96,474.94,5.0,
48,2000,65,m4+,敗復A組,4,一橋大学,101.05,206.35,313.76,417.57,1.0,->Semi-Final
49,2000,65,m4+,敗復A組,3,同志社大学,103.38,208.42,314.32,419.11,2.0,
50,2000,65,m4+,敗復A組,5,名古屋工業大学,103.76,210.48,320.51,431.81,3.0,
51,2000,65,m4+,敗復A組,2,山口大学,102.97,213.92,328.35,444.35,4.0,
54,2000,66,m4+,敗復B組,3,成蹊大学,102.88,210.69,318.07,421.95,1.0,->Semi-Final
55,2000,66,m4+,敗復B組,4,名古屋大学,102.17,209.97,318.51,425.38,2.0,
56,2000,66,m4+,敗復B組,2,滋賀大学教育学部,105.64,215.86,323.81,429.38,3.0,
57,2000,66,m4+,敗復B組,5,香川大学,105.82,218.4,332.75,447.26,4.0,
60,2000,67,m4+,敗復C組,3,北海道大学,99.15,206.05,315.31,421.05,1.0,->Semi-Final
61,2000,67,m4+,敗復C組,4,東京工業大学,101.99,207.57,316.19,422.51,2.0,
62,2000,67,m4+,敗復C組,2,徳島大学,105.57,215.92,328.16,439.4,3.0,
63,2000,67,m4+,敗復C組,5,熊本大学,105.01,217.73,333.87,449.64,4.0,
66,2000,68,m4+,敗復D組,3,埼玉大学,102.16,211.24,318.75,425.93,1.0,->Semi-Final
67,2000,68,m4+,敗復D組,4,新潟大学,104.8,213.47,324.2,430.17,2.0,
68,2000,68,m4+,敗復D組,2,大同工業大学,106.88,217.14,329.54,441.31,3.0,
69,2000,68,m4+,敗復D組,5,大阪府立大学,110.26,224.41,340.6,454.01,4.0,
72,2000,69,m4+,敗復E組,3,東北学院大学,100.07,206.07,312.73,418.3,1.0,->Semi-Final
73,2000,69,m4+,敗復E組,4,立命館大学,103.54,211.96,318.2,423.94,2.0,
74,2000,69,m4+,敗復E組,2,慶應義塾大学,104.8,211.79,319.98,430.34,3.0,
75,2000,69,m4+,敗復E組,5,南山大学,111.02,221.34,334.38,443.9,4.0,
78,2000,70,m4+,敗復F組,3,岡山大学,101.63,208.6,315.14,417.9,1.0,->Semi-Final
79,2000,70,m4+,敗復F組,4,防衛大学校,102.38,210.4,318.54,424.41,2.0,
80,2000,70,m4+,敗復F組,2,島根大学,104.77,212.52,321.64,427.5,3.0,
81,2000,70,m4+,敗復F組,5,福島大学,111.06,225.41,337.44,453.73,4.0,
82,2000,70,m4+,敗復F組,1,福山大学,110.66,228.7,348.76,468.03,5.0,
84,2000,71,m4+,敗復G組,3,立教大学,100.45,203.29,309.01,412.41,1.0,->Semi-Final
85,2000,71,m4+,敗復G組,4,日本大学,99.82,205.81,311.55,415.44,2.0,
86,2000,71,m4+,敗復G組,2,成城大学,103.48,208.36,314.66,420.99,3.0,
87,2000,71,m4+,敗復G組,5,杏林大学,110.73,227.31,345.09,457.84,4.0,
88,2000,71,m4+,敗復G組,1,名古屋市立大学,111.93,226.5,343.99,458.4,5.0,
90,2000,72,m4+,敗復H組,3,法政大学,97.2,199.51,306.93,415.48,1.0,->Semi-Final
91,2000,72,m4+,敗復H組,4,滋賀大学経済学部,101.41,209.5,319.84,430.65,2.0,
92,2000,72,m4+,敗復H組,2,鳥取大学,102.16,210.59,323.43,434.44,3.0,
93,2000,72,m4+,敗復H組,5,石巻専修大学,108.86,220.2,331.36,443.35,4.0,
94,2000,72,m4+,敗復H組,1,静岡大学,106.78,217.28,330.66,445.08,5.0,
96,2000,129,m4+,準決A組,3,龍谷大学,104.48,210.74,315.17,417.19,1.0,->Final A
97,2000,129,m4+,準決A組,2,立教大学,105.18,212.09,316.74,420.2,2.0,->Final B
98,2000,129,m4+,準決A組,5,埼玉大学,106.13,212.5,320.68,428.25,3.0,
99,2000,129,m4+,準決A組,4,東北大学,103.44,210.58,320.91,431.54,4.0,
102,2000,130,m4+,準決B組,3,明治大学,102.46,208.18,315.06,417.58,1.0,->Final A
103,2000,130,m4+,準決B組,2,法政大学,101.46,206.64,315.3,420.26,2.0,->Final B
104,2000,130,m4+,準決B組,4,東海大学,105.37,213.57,321.06,427.23,3.0,
105,2000,130,m4+,準決B組,5,成蹊大学,104.38,211.7,322.26,431.95,4.0,
108,2000,131,m4+,準決C組,3,東京経済大学,101.61,210.46,318.43,423.41,1.0,->Final A
109,2000,131,m4+,準決C組,5,北海道大学,100.42,210.29,321.21,429.44,2.0,->Final B
110,2000,131,m4+,準決C組,4,神戸大学,106.36,215.04,324.43,430.15,3.0,
111,2000,131,m4+,準決C組,2,一橋大学,104.74,216.09,324.58,430.62,4.0,
114,2000,132,m4+,準決D組,3,中央大学,99.05,202.38,311.88,420.41,1.0,->Final A
115,2000,132,m4+,準決D組,5,東北学院大学,100.62,207.46,318.2,426.53,2.0,->Final B
116,2000,132,m4+,準決D組,2,岡山大学,103.87,210.71,321.28,427.93,3.0,
117,2000,132,m4+,準決D組,4,東京大学,103.06,211.0,328.3,444.57,4.0,
120,2000,168,m4+,順決,4,法政大学,96.1,196.98,300.57,402.7,1.0,
121,2000,168,m4+,順決,3,立教大学,100.22,203.87,306.29,408.44,2.0,
122,2000,168,m4+,順決,5,北海道大学,98.4,199.34,304.49,410.37,3.0,
123,2000,168,m4+,順決,2,東北学院大学,98.7,203.57,308.55,410.78,4.0,
126,2000,169,m4+,決勝,2,中央大学,93.82,189.86,289.16,387.18,1.0,
127,2000,169,m4+,決勝,4,明治大学,97.18,198.06,298.27,394.99,2.0,
128,2000,169,m4+,決勝,3,龍谷大学,96.88,195.1,298.05,395.66,3.0,
129,2000,169,m4+,決勝,5,東京経済大学,96.66,195.94,298.49,395.88,4.0,
132,2000,1,w4+,予選A組,4,龍谷大学,111.12,227.54,346.01,462.08,1.0,->Semi-Final
133,2000,1,w4+,予選A組,1,東京外国語大学,118.01,238.4,360.76,478.91,2.0,
134,2000,1,w4+,予選A組,2,法政大学,119.69,242.98,365.77,487.0,3.0,
135,2000,1,w4+,予選A組,3,滋賀大学教育学部,121.44,244.74,369.61,491.18,4.0,
136,2000,1,w4+,予選A組,5,島根大学,126.49,262.3,400.01,534.37,5.0,
138,2000,2,w4+,予選B組,3,神戸大学,115.52,233.66,353.92,473.33,1.0,->Semi-Final
139,2000,2,w4+,予選B組,2,北海道大学,114.58,233.45,354.91,475.61,2.0,
