,year,tournament_name,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2015,全日本大学選手権大会,53,m4+,予選A組,2,仙台大学,01:36.08,03:15.75,05:00.43,06:43.73,1,2
1,2015,全日本大学選手権大会,53,m4+,予選A組,1,慶應義塾大学,01:37.68,03:20.44,05:06.52,06:50.03,2,1
2,2015,全日本大学選手権大会,53,m4+,予選A組,6,山口大学,01:37.49,03:22.04,05:08.88,06:50.33,3,6
3,2015,全日本大学選手権大会,53,m4+,予選A組,5,学習院大学,01:39.07,03:23.87,05:11.17,06:52.32,4,5
4,2015,全日本大学選手権大会,53,m4+,予選A組,4,関西学院大学,01:42.24,03:28.98,05:16.38,07:03.35,5,4
5,2015,全日本大学選手権大会,53,m4+,予選A組,3,早稲田大学理工漕艇部,01:46.73,03:37.89,05:30.44,07:21.34,6,3
6,2015,全日本大学選手権大会,54,m4+,予選B組,2,熊本大学,01:35.11,03:17.40,05:02.11,06:45.84,1,2
7,2015,全日本大学選手権大会,54,m4+,予選B組,6,名古屋大学,01:39.07,03:22.10,05:07.33,06:48.76,2,6
8,2015,全日本大学選手権大会,54,m4+,予選B組,1,東京経済大学,01:38.24,03:19.97,05:06.24,06:53.07,3,1
9,2015,全日本大学選手権大会,54,m4+,予選B組,5,神戸大学,01:42.51,03:28.09,05:13.68,06:58.91,4,5
10,2015,全日本大学選手権大会,54,m4+,予選B組,4,慶應義塾大学医学部,01:40.51,03:25.39,05:14.29,07:00.60,5,4
11,2015,全日本大学選手権大会,54,m4+,予選B組,3,岐阜経済大学,01:42.97,03:28.35,05:16.28,07:03.73,6,3
12,2015,全日本大学選手権大会,55,m4+,予選C組,3,明治大学,01:35.61,03:16.94,05:02.11,06:44.01,1,3
13,2015,全日本大学選手権大会,55,m4+,予選C組,5,大阪府立大学,01:38.45,03:19.58,05:03.41,06:49.12,2,5
14,2015,全日本大学選手権大会,55,m4+,予選C組,1,龍谷大学,01:37.23,03:21.00,05:07.25,06:51.85,3,1
15,2015,全日本大学選手権大会,55,m4+,予選C組,4,成蹊大学,01:41.51,03:24.11,05:10.80,06:53.30,4,4
16,2015,全日本大学選手権大会,55,m4+,予選C組,6,京都大学,01:38.72,03:25.46,05:14.44,06:57.10,5,6
17,2015,全日本大学選手権大会,55,m4+,予選C組,2,成城大学,01:43.35,03:27.55,05:16.75,07:05.90,6,2
18,2015,全日本大学選手権大会,56,m4+,予選D組,3,東海大学,01:36.11,03:16.25,04:58.73,06:38.36,1,3
