year,race_number,boat_type,section_code,lane,team,Q1,Q2,Q3,Q4,order,qualify,Q1[s],Q2[s],Q3[s],Q4[s]
,5,m1x,Heat1組,1,西村 光生(アイリスオーヤマ),01:44.59,03:34.18,05:26.79,07:17.66,3,→Semi-Final,104.6,214.2,326.8,437.7
,5,m1x,Heat1組,2,山口 隆生(東京科学大学医歯学系),01:50.81,03:51.73,05:50.00,07:51.12,2,,110.8,231.7,350.0,471.1
,5,m1x,Heat1組,3,増田 大樹(PENTA RC),01:55.67,03:56.88,05:59.13,07:59.65,1,,115.7,236.9,359.1,479.6
,5,m1x,Heat1組,4,猪俣 智仁(中央大学理工学部),01:56.58,04:02.77,06:11.74,08:20.45,4,,116.6,242.8,371.7,500.4
,5,m1x,Heat1組,,上戸 新太(東京経済大学),,,,,5,DNS（棄権）,,,,
,5,m1x,Heat1組,,,,,,,6,,,,,
,6,m1x,Heat2組,1,扇原 優(慶應義塾大学),01:48.11,03:41.85,05:38.56,07:41.82,5,→Semi-Final,108.1,221.8,338.6,461.8
,6,m1x,Heat2組,2,釜本 大輝(トヨタRC),01:54.95,03:51.69,05:48.07,07:44.03,4,,115.0,231.7,348.1,464.0
,6,m1x,Heat2組,3,塚本 章良(勘八峡・昇龍RC),01:52.80,03:51.24,05:53.87,07:55.83,1,,112.8,231.2,353.9,475.8
,6,m1x,Heat2組,4,濱川 政之介(日本体育大学),01:56.81,03:56.40,05:58.47,08:01.59,2,,116.8,236.4,358.5,481.6
,6,m1x,Heat2組,5,高野 亮介(戸田中央総合病院RC),01:57.37,03:59.69,06:05.64,08:14.36,3,,117.4,239.7,365.6,494.4
,6,m1x,Heat2組,,,,,,,6,,,,,
,7,m1x,Heat3組,1,大南 孝一郎(愛媛大学),01:52.52,03:47.97,05:41.90,07:33.98,4,→Semi-Final,112.5,228.0,341.9,454.0
,7,m1x,Heat3組,2,川竹 葉来(明治大学),01:52.04,03:46.87,05:42.16,07:36.99,5,,112.0,226.9,342.2,457.0
,7,m1x,Heat3組,3,羽賀 直喜(千葉大学),01:52.24,03:46.57,05:44.23,07:40.52,3,,112.2,226.6,344.2,460.5
,7,m1x,Heat3組,4,武田 大作(愛媛大学黒汐会),01:56.58,03:55.11,05:54.91,07:52.59,1,,116.6,235.1,354.9,472.6
,7,m1x,Heat3組,,杉谷 太規(早稲田大学),,,,,2,DNS（棄権）,,,,
,7,m1x,Heat3組,,,,,,,6,,,,,
,8,m1x,Heat4組,1,橋本 太一(明治安田),01:49.10,03:43.52,05:38.22,07:33.15,3,→Semi-Final,109.1,223.5,338.2,453.1
,8,m1x,Heat4組,2,下田 迅都(富山国際大学),01:52.33,03:47.80,05:44.30,07:41.96,2,,112.3,227.8,344.3,462.0
,8,m1x,Heat4組,3,椎名 孝行(ぐんまちゃん),01:59.93,04:02.66,06:07.70,08:13.47,5,,119.9,242.7,367.7,493.5
,8,m1x,Heat4組,4,山崎 海聖(一橋大学),02:01.13,04:06.57,06:13.63,08:24.35,1,,121.1,246.6,373.6,504.4
,8,m1x,Heat4組,,石塚 慎之助(日本宅配システム),,,,,4,DNS（棄権）,,,,
,8,m1x,Heat4組,,,,,,,6,,,,,
,9,m1x,Heat5組,1,間 祐輔(仙台大学),01:50.49,03:46.71,05:41.13,07:31.39,4,→Semi-Final,110.5,226.7,341.1,451.4
,9,m1x,Heat5組,2,柘植 充(中部電力),01:47.23,03:41.13,05:39.21,07:37.19,1,,107.2,221.1,339.2,457.2
,9,m1x,Heat5組,3,南條 翔也(瀬田漕艇クラブ),01:54.11,03:48.69,05:44.14,07:43.48,3,,114.1,228.7,344.1,463.5
,9,m1x,Heat5組,4,柴﨑 峻佑(日本大学),01:49.49,03:47.35,05:49.94,07:50.48,2,,109.5,227.3,349.9,470.5
,9,m1x,Heat5組,5,川島 俊輔(成城大学),01:51.70,03:50.78,05:52.63,07:56.84,5,,111.7,230.8,352.6,476.8
,9,m1x,Heat5組,,,,,,,6,,,,,
,10,m1x,Heat6組,1,佐藤 芳樹(TeamSSP),01:46.83,03:40.92,05:36.17,07:34.42,3,→Semi-Final,106.8,220.9,336.2,454.4
,10,m1x,Heat6組,2,伊藤 旺我(滋賀大学教育学部),01:53.34,03:50.80,05:44.94,07:37.54,4,,113.3,230.8,344.9,457.5
,10,m1x,Heat6組,3,呉 極(学習院大学),01:55.27,03:50.29,05:45.48,07:40.21,5,,115.3,230.3,345.5,460.2
,10,m1x,Heat6組,4,堀越 春生(中央大学),01:51.94,03:49.99,05:54.52,07:57.46,1,,111.9,230.0,354.5,477.5
,10,m1x,Heat6組,5,杉木 良平(道新ローイングクラブ),01:58.36,03:59.83,06:05.00,08:11.95,2,,118.4,239.8,365.0,491.9
,10,m1x,Heat6組,,,,,,,6,,,,,
,45,m1x,Repechage1組,,武田 大作(愛媛大学黒汐会),,,,,1,,,,,
,45,m1x,Repechage1組,,山口 隆生(東京科学大学医歯学系),,,,,2,,,,,
,45,m1x,Repechage1組,,塚本 章良(勘八峡・昇龍RC),,,,,3,,,,,
,45,m1x,Repechage1組,,,,,,,4,,,,,
,45,m1x,Repechage1組,,,,,,,5,,,,,
,45,m1x,Repechage1組,,,,,,,6,,,,,
,46,m1x,Repechage2組,,山崎 海聖(一橋大学),,,,,1,,,,,
,46,m1x,Repechage2組,,釜本 大輝(トヨタRC),,,,,2,,,,,
,46,m1x,Repechage2組,,羽賀 直喜(千葉大学),,,,,3,,,,,
,46,m1x,Repechage2組,,川島 俊輔(成城大学),,,,,4,,,,,
,46,m1x,Repechage2組,,,,,,,5,,,,,
,46,m1x,Repechage2組,,,,,,,6,,,,,
,47,m1x,Repechage3組,,柴﨑 峻佑(日本大学),,,,,1,,,,,
,47,m1x,Repechage3組,,川竹 葉来(明治大学),,,,,2,,,,,
,47,m1x,Repechage3組,,椎名 孝行(ぐんまちゃん),,,,,3,,,,,
,47,m1x,Repechage3組,,杉木 良平(道新ローイングクラブ),,,,,4,,,,,
,47,m1x,Repechage3組,,,,,,,5,,,,,
,47,m1x,Repechage3組,,,,,,,6,,,,,
